Case	Project	pos. predictive value rate	true positive rate
TreeFamA	EggNOG	0.9342 +- 0.00324964	0.5657 +- 0.00505699
	PANTHER 8.0 (all)	0.8743 +- 0.00384535	0.6765 +- 0.00477283
	RBH / BBH	0.948 +- 0.003142	0.4926 +- 0.00510071
	RSD 0.8 1e-5 Deluca	0.9489 +- 0.00325555	0.4515 +- 0.00507723
	metaPhOrs incomplete	0.9484 +- 0.00264818	0.6894 +- 0.00472112
	orthoinspector 1.30 (blast threshold 10-9)	0.9268 +- 0.0031601	0.6551 +- 0.00484964
	phylomeDB	0.9491 +- 0.00276811	0.6232 +- 0.00494386
	Ensembl Compara (e81)	0.9132 +- 0.0038615	0.5052 +- 0.00510097
	Hieranoid 2	0.9255 +- 0.0033175	0.6035 +- 0.00499069
	InParanoid	0.9285 +- 0.00318625	0.6317 +- 0.0049212
	InParanoidCore	0.9523 +- 0.00307508	0.4764 +- 0.00509555
	OMA GETHOGs	0.89 +- 0.00390173	0.5959 +- 0.00500656
	OMA Groups (RefSet5)	0.9506 +- 0.00374067	0.3323 +- 0.00480592
	PANTHER 8.0 (LDO only)	0.9494 +- 0.00328936	0.4388 +- 0.00506287
	OMA Pairs (Refset5)	0.9191 +- 0.00369609	0.5206 +- 0.0050969
