Project	# completed tree samplings (of 50k trials)	# uploaded orthologs	avg RF distance( genetree , speciestree )	avg fraction incorrect trees
EggNOG	14782	165369	0.079 +- 0.010	0.079 +- 0.010
PANTHER 8.0 (all)	18627	214465	0.108 +- 0.011	0.108 +- 0.011
RBH / BBH	18304	177750	0.095 +- 0.010	0.095 +- 0.010
RSD 0.8 1e-5 Deluca	16608	165851	0.0737 +- 0.0093	0.0737 +- 0.0093
metaPhOrs incomplete	15581	177811	0.081 +- 0.010	0.081 +- 0.010
orthoinspector 1.30 (blast threshold 10-9)	16825	183475	0.083 +- 0.010	0.083 +- 0.010
phylomeDB	16299	187876	0.0707 +- 0.0092	0.0707 +- 0.0092
Ensembl Compara (e81)	15122	181605	0.094 +- 0.010	0.094 +- 0.010
Hieranoid 2	15201	175636	0.079 +- 0.010	0.079 +- 0.010
InParanoid	16481	189816	0.077 +- 0.010	0.077 +- 0.010
InParanoidCore	13533	145470	0.0607 +- 0.0085	0.0607 +- 0.0085
OMA GETHOGs	11130	161883	0.0640 +- 0.0088	0.0640 +- 0.0088
OMA Groups (RefSet5)	3584	78952	0.0403 +- 0.0070	0.0403 +- 0.0070
PANTHER 8.0 (LDO only)	15670	140609	0.0753 +- 0.0094	0.0753 +- 0.0094
OMA Pairs (Refset5)	8778	135598	0.0637 +- 0.0087	0.0637 +- 0.0087
