Project	# ortholog relations	avg Schlicker
EggNOG	73681	0.97185 +- 0.00082
PANTHER 8.0 (all)	120204	0.9370 +- 0.0010
RBH / BBH	88379	0.9585 +- 0.0010
RSD 0.8 1e-5 Deluca	81280	0.96287 +- 0.00093
metaPhOrs incomplete	98829	0.9085 +- 0.0013
orthoinspector 1.30 (blast threshold 10-9)	102251	0.95403 +- 0.00091
phylomeDB	89387	0.9524 +- 0.0010
Ensembl Compara (e81)	97614	0.9471 +- 0.0010
Hieranoid 2	92636	0.95871 +- 0.00088
InParanoid	113163	0.9295 +- 0.0011
InParanoidCore	76997	0.97461 +- 0.00077
OMA GETHOGs	110683	0.9387 +- 0.0010
OMA Groups (RefSet5)	45746	0.98693 +- 0.00072
PANTHER 8.0 (LDO only)	68457	0.97329 +- 0.00086
OMA Pairs (Refset5)	79193	0.97378 +- 0.00079
